,inning,batsman,bowler,batsman_name,bowler_name,ovr,runs_batter,runs_w_extras,x,y,z,extras,wicket,wicket_method
169,1,7133,35320,Ricky Ponting,Sachin Tendulkar,26.1,1.0,1.0,132.0,273.0,5.0,0.0,,
170,1,6513,35320,Damien Martyn,Sachin Tendulkar,26.2,4.0,4.0,306.0,277.0,3.0,0.0,,
171,1,6513,35320,Damien Martyn,Sachin Tendulkar,26.3,1.0,1.0,275.0,180.0,3.0,0.0,,
172,1,7133,35320,Ricky Ponting,Sachin Tendulkar,26.4,0.0,0.0,0.0,0.0,0.0,0.0,,
173,1,7133,35320,Ricky Ponting,Sachin Tendulkar,26.5,0.0,0.0,0.0,0.0,0.0,0.0,,
174,1,7133,35320,Ricky Ponting,Sachin Tendulkar,26.6,0.0,0.0,0.0,0.0,0.0,0.0,,
175,1,6513,35263,Damien Martyn,Virender Sehwag,27.1,1.0,1.0,275.0,111.0,2.0,0.0,,
176,1,7133,35263,Ricky Ponting,Virender Sehwag,27.2,0.0,0.0,0.0,0.0,0.0,0.0,,
177,1,7133,35263,Ricky Ponting,Virender Sehwag,27.3,2.0,2.0,266.0,286.0,4.0,0.0,,
178,1,7133,35263,Ricky Ponting,Virender Sehwag,27.4,1.0,1.0,224.0,134.0,2.0,0.0,,
179,1,6513,35263,Damien Martyn,Virender Sehwag,27.5,1.0,1.0,231.0,75.0,1.0,0.0,,
180,1,7133,35263,Ricky Ponting,Virender Sehwag,27.6,0.0,0.0,0.0,0.0,0.0,0.0,,
181,1,6513,35320,Damien Martyn,Sachin Tendulkar,28.1,1.0,1.0,142.0,280.0,5.0,0.0,,
182,1,7133,35320,Ricky Ponting,Sachin Tendulkar,28.2,1.0,1.0,259.0,224.0,3.0,0.0,,
183,1,6513,35320,Damien Martyn,Sachin Tendulkar,28.3,2.0,2.0,261.0,294.0,4.0,0.0,,
184,1,6513,35320,Damien Martyn,Sachin Tendulkar,28.4,1.0,1.0,85.0,102.0,7.0,0.0,,
185,1,7133,35320,Ricky Ponting,Sachin Tendulkar,28.5,0.0,0.0,0.0,0.0,0.0,0.0,,
186,1,7133,35320,Ricky Ponting,Sachin Tendulkar,28.6,0.0,0.0,0.0,0.0,0.0,0.0,,
187,1,6513,31034,Damien Martyn,Dinesh Mongia,29.1,0.0,0.0,0.0,0.0,0.0,0.0,,
188,1,6513,31034,Damien Martyn,Dinesh Mongia,29.2,0.0,0.0,0.0,0.0,0.0,0.0,,
189,1,6513,31034,Damien Martyn,Dinesh Mongia,29.3,4.0,4.0,68.0,62.0,7.0,0.0,,
190,1,6513,31034,Damien Martyn,Dinesh Mongia,29.4,0.0,0.0,0.0,0.0,0.0,0.0,,
191,1,6513,31034,Damien Martyn,Dinesh Mongia,29.5,2.0,2.0,59.0,102.0,7.0,0.0,,
192,1,6513,31034,Damien Martyn,Dinesh Mongia,29.6,0.0,0.0,0.0,0.0,0.0,0.0,,
193,1,7133,30102,Ricky Ponting,Zaheer Khan,30.1,1.0,1.0,229.0,71.0,1.0,0.0,,
194,1,6513,30102,Damien Martyn,Zaheer Khan,30.2,0.0,0.0,0.0,0.0,0.0,0.0,,
195,1,6513,30102,Damien Martyn,Zaheer Khan,30.3,1.0,1.0,270.0,104.0,2.0,0.0,,
196,1,7133,30102,Ricky Ponting,Zaheer Khan,30.4,1.0,1.0,228.0,175.0,3.0,0.0,,
197,1,6513,30102,Damien Martyn,Zaheer Khan,30.5,2.0,2.0,130.0,266.0,5.0,0.0,,
198,1,6513,30102,Damien Martyn,Zaheer Khan,30.6,0.0,1.0,0.0,0.0,0.0,1.0,,
199,1,6513,31034,Damien Martyn,Dinesh Mongia,31.1,0.0,0.0,0.0,0.0,0.0,0.0,,
200,1,6513,31034,Damien Martyn,Dinesh Mongia,31.2,0.0,0.0,0.0,0.0,0.0,0.0,,
201,1,6513,31034,Damien Martyn,Dinesh Mongia,31.3,0.0,0.0,0.0,0.0,0.0,0.0,,
202,1,6513,31034,Damien Martyn,Dinesh Mongia,31.4,1.0,1.0,241.0,71.0,1.0,0.0,,
203,1,7133,31034,Ricky Ponting,Dinesh Mongia,31.5,1.0,1.0,200.0,116.0,1.0,0.0,,
204,1,6513,31034,Damien Martyn,Dinesh Mongia,31.6,0.0,0.0,0.0,0.0,0.0,0.0,,
205,1,7133,30102,Ricky Ponting,Zaheer Khan,32.1,2.0,2.0,55.0,244.0,6.0,0.0,,
206,1,7133,30102,Ricky Ponting,Zaheer Khan,32.2,2.0,2.0,134.0,286.0,5.0,0.0,,
